	0.999605	0.001991	0
	0.998296	0.002297	0
	0.996117	0.002804	0
	0.993072	0.003511	0
	0.989166	0.004414	0
	0.984406	0.00551	0
	0.978799	0.006793	0
	0.972357	0.008257	0
	0.96509	0.009896	0
	0.95701	0.011703	0
	0.948132	0.013671	0
	0.938472	0.015791	0
	0.928046	0.018054	0
	0.916872	0.020452	0
	0.904969	0.022975	0
	0.89236	0.025614	0
	0.879065	0.028359	0
	0.865107	0.0312	0
	0.850512	0.034127	0
	0.835305	0.03713	0
	0.819511	0.040198	0
	0.80316	0.043321	0
	0.786279	0.046488	0
	0.768898	0.04969	0
	0.751047	0.052914	0
	0.732757	0.05615	0
	0.714061	0.059388	0
	0.694991	0.062615	0
	0.675581	0.06582	0
	0.655864	0.068991	0
	0.635874	0.072116	0
	0.615648	0.075183	0
	0.595219	0.078179	0
	0.574624	0.081091	0
	0.553899	0.083906	0
	0.533079	0.086612	0
	0.512202	0.089193	0
	0.491304	0.091637	0
	0.47042	0.093931	0
	0.449588	0.09606	0
	0.428843	0.098012	0
	0.408223	0.099773	0
	0.387763	0.101332	0
	0.367498	0.102676	0
	0.347464	0.103794	0
	0.327697	0.104676	0
	0.30823	0.105311	0
	0.289097	0.105691	0
	0.270332	0.10581	0
	0.251968	0.10566	0
	0.234036	0.105237	0
	0.216569	0.104537	0
	0.19958	0.103558	0
	0.182846	0.102281	0
	0.166351	0.100643	0
	0.150187	0.098589	0
	0.134449	0.096078	0
	0.11923	0.093084	0
	0.104623	0.089597	0
	0.090718	0.085625	0
	0.077597	0.081188	0
	0.065337	0.076322	0
	0.054006	0.071076	0
	0.043658	0.065505	0
	0.03434	0.059672	0
	0.026084	0.053644	0
	0.018913	0.047488	0
	0.012836	0.041269	0
	0.007855	0.035046	0
	0.003961	0.028872	0
	0.001137	0.022794	0
	-0.00064	0.016848	0
	-0.001399	0.011058	0
	-0.001173	0.00544	0
	0	0	0
	0	0	0
	0.00205	-0.005173	0
	0.004906	-0.009998	0
	0.008526	-0.014492	0
	0.012867	-0.018679	0
	0.017892	-0.022584	0
	0.023562	-0.026237	0
	0.029844	-0.029667	0
	0.036711	-0.032903	0
	0.044139	-0.035974	0
	0.052115	-0.038905	0
	0.06063	-0.04172	0
	0.069688	-0.04444	0
	0.079298	-0.047084	0
	0.089482	-0.049664	0
	0.100265	-0.052192	0
	0.111683	-0.054673	0
	0.123775	-0.057109	0
	0.136583	-0.059495	0
	0.15015	-0.061817	0
	0.164519	-0.064053	0
	0.17973	-0.066171	0
	0.195821	-0.068123	0
	0.212718	-0.069849	0
	0.230137	-0.07132	0
	0.248032	-0.072534	0
	0.266372	-0.073495	0
	0.285124	-0.074205	0
	0.304255	-0.074669	0
	0.323731	-0.074894	0
	0.343519	-0.074886	0
	0.363582	-0.074654	0
	0.383886	-0.074206	0
	0.404396	-0.073551	0
	0.425073	-0.072702	0
	0.445884	-0.071668	0
	0.46679	-0.07046	0
	0.487754	-0.069091	0
	0.50874	-0.067572	0
	0.529711	-0.065914	0
	0.55063	-0.064131	0
	0.571459	-0.062233	0
	0.592162	-0.060233	0
	0.612703	-0.058142	0
	0.633046	-0.055971	0
	0.653153	-0.053731	0
	0.672991	-0.051434	0
	0.692524	-0.049089	0
	0.711718	-0.046707	0
	0.730539	-0.044298	0
	0.748953	-0.041872	0
	0.766929	-0.039439	0
	0.784435	-0.037008	0
	0.801439	-0.034589	0
	0.817913	-0.032191	0
	0.833826	-0.029823	0
	0.849151	-0.027494	0
	0.863861	-0.025215	0
	0.877931	-0.022993	0
	0.891334	-0.020837	0
	0.904048	-0.018758	0
	0.91605	-0.016762	0
	0.927319	-0.01486	0
	0.937835	-0.013059	0
	0.947579	-0.011368	0
	0.956535	-0.009794	0
	0.964687	-0.008345	0
	0.972019	-0.007028	0
	0.97852	-0.00585	0
	0.984178	-0.004816	0
	0.988982	-0.003932	0
	0.992924	-0.003202	0
	0.995997	-0.00263	0
	0.998197	-0.002219	0
	0.999518	-0.001972	0
	1	0	0
