1	0	0
0.998459	0.001107	0
0.993844	0.00159	0
0.986185	0.002386	0
0.975528	0.003482	0
0.96194	0.004858	0
0.945503	0.006493	0
0.92632	0.008362	0
0.904508	0.010436	0
0.880203	0.012686	0
0.853553	0.01508	0
0.824724	0.017589	0
0.793893	0.020179	0
0.761249	0.022818	0
0.726995	0.025472	0
0.691342	0.028107	0
0.654508	0.030688	0
0.616723	0.033178	0
0.578217	0.035537	0
0.53923	0.037727	0
0.5	0.039705	0
0.46077	0.04143	0
0.421783	0.042861	0
0.383277	0.043957	0
0.345492	0.044681	0
0.308658	0.045	0
0.273005	0.044886	0
0.238751	0.044319	0
0.206107	0.043286	0
0.175276	0.041782	0
0.146447	0.039812	0
0.119797	0.03739	0
0.095492	0.034537	0
0.07368	0.031279	0
0.054497	0.02765	0
0.03806	0.023685	0
0.024472	0.01942	0
0.013815	0.01489	0
0.006156	0.010128	0
0.001541	0.005158	0
0	0	0
0.001541	-0.005158	0
0.006156	-0.010128	0
0.013815	-0.01489	0
0.024472	-0.01942	0
0.03806	-0.023685	0
0.054497	-0.02765	0
0.07368	-0.031279	0
0.095492	-0.034537	0
0.119797	-0.03739	0
0.146447	-0.039812	0
0.175276	-0.041782	0
0.206107	-0.043286	0
0.238751	-0.044319	0
0.273005	-0.044886	0
0.308658	-0.045	0
0.345492	-0.044681	0
0.383277	-0.043957	0
0.421783	-0.042861	0
0.46077	-0.04143	0
0.5	-0.039705	0
0.53923	-0.037727	0
0.578217	-0.035537	0
0.616723	-0.033178	0
0.654508	-0.030688	0
0.691342	-0.028107	0
0.726995	-0.025472	0
0.761249	-0.022818	0
0.793893	-0.020179	0
0.824724	-0.017589	0
0.853553	-0.01508	0
0.880203	-0.012686	0
0.904508	-0.010436	0
0.92632	-0.008362	0
0.945503	-0.006493	0
0.96194	-0.004858	0
0.975528	-0.003482	0
0.986185	-0.002386	0
0.993844	-0.00159	0
0.998459	-0.001107	0
1	0	0
